population size factor,number iterations factor,score percent
0.5,0.5,79.21862514332587
0.5,1,90.26850543401325
0.5,2,88.066095317536
0.5,3,92.63809015990127
1,0.5,87.53717236704455
1,1,91.00002053065433
1,2,93.59522997352825
1,3,93.63237319337503
2,0.5,90.63371488406973
2,1,92.0340685368016
2,2,95.06359391405925
2,3,94.07583283211662
3,0.5,90.34343355254988
3,1,95.54209602931472
3,2,95.99781953585028
3,3,97.11661109190737
